Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
			
	CHR_HG2365_PATCH	19878555	19887814
			
	18	14053951	14054761
			
	18	77002849	77006846
			
	18	73921939	73922631
			
RNU6-978P	CHR_HG2365_PATCH	19883614	19883716
			
	18	77421619	77561044
			
	CHR_HG2365_PATCH	19899334	19899559
			
	CHR_HG2365_PATCH	19955300	19955602
			
	18	78137223	78140887
			
	CHR_HG2365_PATCH	19964668	19965101
			
LINC01898	18	75696044	75712851
			
	CHR_HG2365_PATCH	19987663	19988122
			
	18	71225704	71226721
			
	18	75472794	75474772
			
	CHR_HG2365_PATCH	20012746	20014191
			
LINC02582	18	73324941	73349879
			
	CHR_HG2365_PATCH	20122821	20123707
			
	CHR_HG2365_PATCH	20321344	20321616
			
	CHR_HG2365_PATCH	20331892	20332782
			
	CHR_HG2365_PATCH	20374618	20374849
			
	CHR_HG2365_PATCH	20469564	20470996
			
	CHR_HG2365_PATCH	20589394	20589682
			
LINC01539	18	56083356	56137536
			
	CHR_HG2365_PATCH	20643749	20644108
			
	CHR_HG2365_PATCH	20741608	20742444
			
	CHR_HG2198_PATCH	74152800	74179226
			
	CHR_HG2365_PATCH	20816371	20817048
			
	CHR_HG2365_PATCH	20820670	20821762
			
ISLR	CHR_HG2198_PATCH	74173710	74176872
			
	CHR_HG2365_PATCH	20855523	20886468
			
DNAJC28	21	33485530	33491716
			
MTCO1P3	21	45376191	45376382
			
	21	45378201	45379635
			
	21	45403809	45404369
			
COL18A1-AS2	21	45407386	45410065
			
COL18A1-AS1	21	45419716	45425070
			
MIR6815	21	45478266	45478326
			
STRA6	CHR_HG2198_PATCH	74179466	74212267
			
SLC19A1	21	45493572	45573365
			
	10	16721352	16748377
			
	10	10394670	10395737
			
OR4M2	CHR_HG2365_PATCH	21084472	21085410
			
OR4N4	CHR_HG2365_PATCH	21098400	21099347
			
VIM	10	17228241	17237593
			
	CHR_HG2365_PATCH	21156147	21156770
			
	CHR_HG2365_PATCH	21164308	21164743
			
	CHR_HG2365_PATCH	21181946	21189242
			
SYT8	CHR_HG28_PATCH	1828307	1837521
			
	CHR_HG2365_PATCH	21376529	21376760
			
	CHR_HG2365_PATCH	21406249	21407139
			
	18	76008118	76015861
			
	18	77632928	77633360
			
	CHR_HG2365_PATCH	21417407	21417679
			
	CHR_HG2365_PATCH	21641276	21642848
			
	CHR_HG2365_PATCH	21733035	21733712
			
	CHR_HG2365_PATCH	21737334	21738426
			
POTEB3	CHR_HG2365_PATCH	21773471	21804450
			
MBP	18	76978827	77133683
			
	22	23610329	23610538
			
MTFR2P2	22	39750127	39751293
			
LINC01589	22	45604432	45605621
			
LINC01310	22	48866770	48898386
			
PIM3	22	49960768	49964072
			
LINC01694	21	45593654	45603088
			
	21	45596364	45625675
			
	CHR_HSCHR19KIR_HG2393_CTG3_1	54856229	54856976
			
	21	45607386	45609194
			
	CHR_HSCHR19KIR_HG2393_CTG3_1	54871744	54878424
			
COL18A1	21	45405165	45513720
			
NUP50	22	45163925	45188017
			
	CHR_HG2365_PATCH	22002424	22003362
			
	CHR_HG2365_PATCH	22016348	22017295
			
	CHR_HG2365_PATCH	22082221	22082656
			
	CHR_HG2365_PATCH	22106780	22107213
			
	CHR_HG2365_PATCH	22287263	22287494
			
TNNI2	CHR_HG28_PATCH	1838981	1841680
			
	CHR_HG2365_PATCH	22324750	22325640
			
	CHR_HG2365_PATCH	22335908	22336180
			
	CHR_HG2365_PATCH	22539500	22540386
			
POTEB	CHR_HG2365_PATCH	22799188	22830039
			
	CHR_HG2365_PATCH	22865088	22866180
			
	CHR_HG2365_PATCH	22869800	22870477
			
	CHR_HG2365_PATCH	22943679	22945251
			
	CHR_HG2365_PATCH	23042969	23043328
			
	CHR_HG2365_PATCH	23097381	23107645
			
	CHR_HG2365_PATCH	23215931	23217363
			
	CHR_HG2365_PATCH	23277139	23287363
			
	10	17233325	17234833
			
	10	11395808	11398792
			
	10	17137336	17137585
			
	10	18940501	18940953
			
	10	6682513	6823789
			
	10	23443036	23529801
			
GPR158-AS1	10	25158072	25176276
			
NIPA1	CHR_HG2365_PATCH	23455943	23493534
			
CYFIP1	CHR_HG2365_PATCH	23539361	23616629
			
TRDMT1	10	17137336	17202054
			
LSP1	CHR_HG28_PATCH	1852970	1892267
			
FTH1P19	X	37492021	37492548
			
MAGEB16	X	35798342	35803735
			
	CHR_HG2365_PATCH	23758443	23760479
			
GOLGA6L1	CHR_HG2365_PATCH	23798790	23806603
			
	X	51325790	51330662
			
MAGEB10	X	27807990	27823014
			
GTSE1-DT	22	46295143	46296660
			
GOLGA8DP	CHR_HG2365_PATCH	23827481	23837765
			
DENND6B	22	50309030	50327012
			
	X	27854323	27855353
			
	X	65786763	65787169
			
H2AL1QP	X	36719918	36720221
			
	X	39226103	39299786
			
	X	35864858	35869631
			
	X	52422069	52459066
			
IPO7P1	X	51921864	51922499
			
INE1	X	47204921	47205865
			
RGN	X	47078355	47093314
			
MGAT4C	CHR_HSCHR12_8_CTG2_1	85955666	86838904
			
	CHR_HG2365_PATCH	23961862	23972149
			
	CHR_HG2365_PATCH	23992969	24000781
			
	CHR_HG2365_PATCH	24050655	24058495
			
	CHR_HG2365_PATCH	24089314	24089592
			
GOLGA6L2	CHR_HG2365_PATCH	24160220	24168592
			
	CHR_HG2365_PATCH	24288509	24298144
			
MAGEL2	CHR_HG2365_PATCH	24366714	24370460
			
ATXN10	22	45671798	45845307
			
	X	42252459	42699385
			
NDN	CHR_HG2365_PATCH	24409558	24410281
			
	CHR_HG2365_PATCH	25064722	25066457
			
	X	51030422	51031357
			
ITIH6	X	54748918	54798255
			
RBM3	X	48574449	48581162
			
C1QL3	10	16513734	16521879
			
MINDY3	10	15778170	15860507
			
	22	49805452	49807208
			
HMGN2P9	22	43802544	43802772
			
	22	47259366	47261007
			
PTCHD1	X	23334849	23404374
			
FAM118A	22	45308968	45341955
			
SYAP1	X	16719612	16765340
			
	18	1362445	1363873
			
	18	68277802	68278243
			
	18	49969721	49970957
			
ZNF516	18	76357682	76495242
			
MTMR8	X	64268081	64395452
			
MCTS1	CHR_HG439_PATCH	120594010	120621159
			
ZNF33BP1	10	37794276	37796109
			
	X	65925836	66001436
			
	18	79420836	79422780
			
	18	62551203	62552505
			
ARMC3	10	22928024	23038523
			
	18	77042864	77044739
			
KRT8P14	X	45632292	45633733
			
CHADL	22	41229510	41240931
			
	18	71028770	71033056
			
GRPEL2P2	X	64697878	64698547
			
FTHL18	X	37043023	37043571
			
ZFRP1	X	62878811	62884842
			
	X	55520382	55520714
			
HNRNPA1P11	18	72618267	72619222
			
CHST9	18	26906481	27185308
			
CDKL5	X	18425583	18653629
			
C1GALT1C1	CHR_HG439_PATCH	120625674	120630054
			
BRD1	22	49773283	49827512
			
COSMOC	18	36179996	36187448
			
	18	78925064	78927441
			
H3P46	CHR_HG439_PATCH	120709061	120709392
			
KRT18P8	18	9678248	9679493
			
GLRX5P1	CHR_HG439_PATCH	120733094	120733396
			
	18	76256891	76258337
			
CT47B1	CHR_HG439_PATCH	120872597	120875937
			
	18	75407012	75426607
			
	CHR_HG439_PATCH	120876560	120876813
			
CT47A6	CHR_HG439_PATCH	120877498	120880820
			
	18	37273706	37276572
			
GUCY1B2	13	50994511	51080862
			
FAM3B	21	41304212	41357727
			
CT47A4	CHR_HG439_PATCH	120887218	120890540
			
ZNF397	18	35241030	35267133
			
GCGR	CHR_HG1320_PATCH	81754364	81764240
			
	CHR_HG439_PATCH	120891140	120891391
			
CT47A1	CHR_HG439_PATCH	120901808	120905120
			
	CHR_HG439_PATCH	120905720	120905971
			
CBLL1P1	CHR_HG439_PATCH	120944299	120945898
			
GLUD2	CHR_HG439_PATCH	120966945	120969429
			
	CHR_HG439_PATCH	120985217	120997873
			
CCDC33	CHR_HG2198_PATCH	74202705	74338316
			
	18	79539574	79540840
			
	18	79470120	79470940
			
LINC01900	18	21981121	22051159
			
	18	75070197	75071091
			
	18	27375310	27401910
			
SMC1B	22	45344063	45413619
			
	18	32954075	32957998
			
LAMA1	18	6941742	7117797
			
MIR4298	CHR_HG28_PATCH	1859464	1859536
			
	CHR_HG28_PATCH	1864177	1866667
			
MIR7847	CHR_HG28_PATCH	1880045	1880147
			
PRR33	CHR_HG28_PATCH	1888577	1891895
			
TNNT3	CHR_HG28_PATCH	1898024	1917031
			
	21	41441056	41445708
			
RNA5SP29	13	51027747	51027852
			
	21	41539206	41539326
			
DLEU1	13	50082169	50906856
			
	21	41559125	41562958
			
ADAMTS1	21	26835755	26845409
			
MCRIP1	CHR_HG1320_PATCH	81772593	81783534
			
	22	49534062	49534926
			
RNF185	22	31160182	31207019
			
USP6NL-AS1	10	11611305	11612227
			
	10	22340377	22340615
			
RPP38-DT	10	15095385	15097319
			
PABPC1P8	10	42279734	42281819
			
CCDC7	10	32446140	32882874
			
	CHR_HG2198_PATCH	74301347	74306371
			
RPL5P31	13	51161723	51162357
			
	13	51180178	51180967
			
	CHR_HG2198_PATCH	74304849	74306187
			
PRELID3BP2	13	51195881	51196081
			
	CHR_HG2198_PATCH	74313360	74321532
			
MIR5693	13	51348567	51348639
			
CYP11A1	CHR_HG2198_PATCH	74339603	74369490
			
FAM124A	13	51222334	51284239
			
C1QTNF9B	13	23891099	23897502
			
ANKRD20A19P	13	23939557	23946782
			
	22	47916728	47926264
			
	22	30182818	30207195
			
	22	39133090	39136760
			
	22	49500568	49501585
			
CARD10	22	37490362	37519542
			
	13	23954493	23970188
			
SPATA13	13	23979810	24035027
			
IPO7P2	13	24122065	24123814
			
PCOTH	13	23888842	23897263
			
ZAR1L	13	32303699	32315363
			
	21	32259804	32261585
			
MIS18A	21	32268228	32279049
			
PPIAP46	CHR_HG2198_PATCH	74352612	74366464
			
IFIT1P1	13	32384660	32386108
			
	CHR_HG2198_PATCH	74367279	74373055
			
N4BP2L1	13	32400723	32428311
			
	CHR_HG2198_PATCH	74376522	74377355
			
	X	52195836	52265919
			
LINC02255	CHR_HG2198_PATCH	74380927	74392379
			
MIS18A-AS1	21	32277863	32280988
			
SEMA7A	CHR_HG2198_PATCH	74411133	74435802
			
ERCC6L	X	72204657	72239027
			
MRAP-AS1	21	32306464	32308737
			
MRAP	21	32291813	32314784
			
WASHC3P1	X	70857163	70857502
			
NUDT11	X	51490011	51496592
			
PPP1R27	CHR_HG1320_PATCH	81783724	81785282
			
LINC01668	21	42777819	42779994
			
	21	42781074	42782229
			
	21	42831040	42836477
			
	X	65185018	65187265
			
WDR4	21	42843094	42879568
			
MAP7D2	X	20006713	20116907
			
	18	68899781	68902255
			
LINC00668	18	6919496	6929966
			
	20	39655325	39663552
			
TGM2	20	38127385	38166578
			
EIF4A3P1	18	24522273	24522919
			
	13	32420390	32420516
			
	13	32425358	32432954
			
TMEM241	18	23197144	23437961
			
ATP8A2P2	13	32477274	32478841
			
MIR6881	CHR_HG2198_PATCH	74413201	74413276
			
N4BP2L2-IT2	13	32504506	32509395
			
	CHR_HG2198_PATCH	74431289	74433293
			
ARL2BPP3	13	36789332	36795050
			
UBL7	CHR_HG2198_PATCH	74447821	74463026
			
NDE1P2	13	36804198	36805302
			
SMAD9	13	36844831	36920765
			
SMAD9-IT1	13	36849366	36850046
			
LAMTOR3P1	13	36922539	36922908
			
RPL29P28	13	36926438	36927219
			
EIF4A1P5	13	36938400	36939494
			
EXOSC8	13	36998816	37009614
			
LINC02885	22	34756676	35002862
			
PEDS1	20	50118254	50153734
			
PISD	22	31618491	31662432
			
EBLN1	10	22208814	22210021
			
	10	32346499	32347179
			
	10	21865335	21865921
			
NDUFV3	21	42879644	42913304
			
GRIPAP1	X	48973720	49002264
			
STK4-AS1	20	44963794	44966402
			
	CHR_HG2513_PATCH	8415714	8416023
			
	CHR_HG2513_PATCH	8459946	8464342
			
CDC27P3	20	29746181	29748090
			
	20	48406777	48410716
			
CREM	10	35126791	35212958
			
	CHR_HG2513_PATCH	8589051	8593445
			
ERVH48-1	21	42916803	42925646
			
BPIFB5P	20	33316869	33329969
			
MIR6724-3	CHR_HG2513_PATCH	8746458	8746549
			
	CHR_HG2513_PATCH	8746994	8747083
			
	CHR_HG2513_PATCH	8751515	8752437
			
RNA5-8SN3	CHR_HG2513_PATCH	8753703	8753855
			
RIPOR3	20	50586108	50691542
			
	CHR_HG2513_PATCH	8775853	8776331
			
GABPA	21	25734570	25772460
			
	CHR_HG2513_PATCH	8778771	8779099
			
	CHR_HG2513_PATCH	8779979	8780212
			
	CHR_HG2513_PATCH	8781856	8782167
			
MIR6724-4	CHR_HG2513_PATCH	8790626	8790717
			
	CHR_HG2513_PATCH	8791181	8791270
			
	CHR_HG2513_PATCH	8795725	8796647
			
RNA5-8SN1	CHR_HG2513_PATCH	8797919	8798071
			
	CHR_HG2513_PATCH	8820416	8820894
			
	CHR_HG2513_PATCH	8823350	8823682
			
	CHR_HG2513_PATCH	8824562	8824795
			
	CHR_HG2513_PATCH	8826416	8826727
			
SUPT20H	13	37009312	37059713
			
RPL35AP	20	47478214	47479010
			
ATG3P1	20	39329014	39329924
			
	20	44656451	44696096
			
SPATA2	20	49903391	49915529
			
	7	329776	333172
			
	7	1074450	1078036
			
	7	1267353	1269267
			
	20	47677901	47686297
			
SDK1-AS1	7	3264032	3302452
			
CERK	22	46684410	46738252
			
	7	4642248	4642570
			
FAM83D	20	38926312	38953106
			
LFNG	7	2512529	2529177
			
	20	46168404	46171237
			
	20	5066082	5068154
			
ZNF334	20	46499630	46513559
			
CLIC6	21	34668994	34718227
			
	18	30780006	30780424
			
TUBB8B	18	47390	49557
			
PIGP	21	37062846	37073170
			
	18	78908629	78918993
			
LINC01029	18	77970637	77993731
			
	20	15552157	15552885
			
LINC01150	CHR_HG28_PATCH	1925868	1937511
			
RALGAPB	20	38472816	38578859
			
MRPL23	CHR_HG28_PATCH	1949297	1986541
			
	18	75506227	75508114
			
	18	7455844	7461135
			
	7	4792983	4793127
			
	18	76227990	76233387
			
UNCX	7	1232872	1237326
			
PRPF19P1	18	66068750	66069647
			
	18	80161752	80162413
			
PPP6R2	22	50343304	50445090
			
ELP2	18	36129444	36180557
			
GET4	7	876554	896436
			
	CHR_HG2512_PATCH	10186517	10186826
			
	CHR_HG2512_PATCH	10354850	10359245
			
UBL7-AS1	CHR_HG2198_PATCH	74463109	74515480
			
KCNE2	21	34364006	34371381
			
KRTAP23-1	21	30348399	30348606
			
TPTE	21	10521553	10606140
			
	CHR_HG2198_PATCH	74479914	74492130
			
	CHR_HG2198_PATCH	74491446	74518803
			
	CHR_HG2198_PATCH	74492803	74492872
			
MRPL23-AS1	CHR_HG28_PATCH	1985256	1991939
			
LINC01219	CHR_HG28_PATCH	1993115	1995689
			
	7	161765	164972
			
	7	4130181	4134837
			
H19	CHR_HG28_PATCH	1997195	2003489
			
INTS1	7	1470277	1504389
			
PFKFB1	X	54932961	54998534
			
	CHR_HG1815_PATCH	2004666	2011392
			
CACNA1C-IT1	CHR_HG1815_PATCH	2018213	2020532
			
CACNA1C-IT2	CHR_HG1815_PATCH	2048352	2049463
			
	CHR_HG1815_PATCH	2217462	2217920
			
CACNA1C-AS4	CHR_HG1815_PATCH	2219485	2223479
			
CACNA1C-IT3	CHR_HG1815_PATCH	2275748	2294909
			
	CHR_HG1815_PATCH	2338833	2341674
			
	CHR_HG1815_PATCH	2446161	2463364
			
CACNA1C-AS3	CHR_HG1815_PATCH	2609322	2613412
			
	CHR_HG1815_PATCH	2665909	2666941
			
CACNA1C-AS2	CHR_HG1815_PATCH	2674472	2678192
			
CACNA1C-AS1	CHR_HG1815_PATCH	2681973	2697172
			
ITFG2-AS1	CHR_HG1815_PATCH	2701737	2812902
			
	CHR_HG1485_PATCH	16132469	16145958
			
U6	CHR_HG1485_PATCH	16141767	16141872
			
ABCD1P4	CHR_HG1485_PATCH	16484487	16487680
			
	CHR_HG1485_PATCH	16502123	16502210
			
PABPC1P9	CHR_HG1485_PATCH	16520736	16522824
			
SLC9B1P4	CHR_HG1485_PATCH	16525740	16573663
			
ACTR3BP6	CHR_HG1485_PATCH	16583778	16585115
			
	7	5419827	5420767
			
FOXL3	7	290170	294422
			
RPS23P8	X	70962964	70963293
			
MIR222HG	X	45745211	45770274
			
	7	6578565	6588974
			
RADIL	7	4797055	4883716
			
	CHR_HG28_PATCH	1998559	1998629
			
CFAP47	X	35919734	36385317
			
MIR675	CHR_HG28_PATCH	1998778	1998850
			
	CHR_HG28_PATCH	1999503	1999571
			
SYNJ1	21	32628759	32728040
			
EIF2AK1	7	6022247	6059175
			
SSBL2P	X	62779250	62780326
			
	X	36794500	36795460
			
	X	55908123	56209271
			
SLC2A10	20	46709649	46736347
			
	X	27811885	27812902
			
	20	14522081	14523314
			
	X	51162864	51163677
			
	20	41991140	42063969
			
PHKA2-AS1	X	18890296	18894974
			
PEDS1-UBE2V1	20	50081124	50153637
			
FAM236B	X	72781865	72782660
			
	22	31155966	31156647
			
	22	48139461	48141001
			
NDP	X	43948776	43973395
			
PRR14L	22	31676256	31750140
			
YY2	X	21855987	21858740
			
	X	51082818	51091228
			
ETF1P3	X	65794345	65795835
			
YWHAZP7	X	64612632	64613262
			
DYNLT3	X	37836757	37847571
			
RPS2P7	20	45640486	45641370
			
PDGFA	7	497258	520296
			
	20	48073869	48074188
			
KCNB1	20	49293394	49484297
			
RTL6	22	44492583	44498233
			
PRR34-AS1	22	46053705	46057210
			
	20	50166362	50171742
			
	22	45435864	45448743
			
	X	63087071	63088664
			
	20	24297585	24318086
			
	22	45875932	45879247
			
	20	50570975	50578041
			
MIRLET7BHG	22	46053869	46113928
			
AKAP4	X	50190777	50201007
			
	20	13368291	13368703
			
KCNK15	20	44745865	44752313
			
	7	1459937	1464008
			
RPL22P16	7	4865432	4865804
			
	20	57442742	57458298
			
PUDPP3	20	33047517	33048152
			
FAM83F	22	39994954	40043534
			
	20	49829125	49831085
			
CDH22	20	46173739	46308498
			
ZFAND2A	7	1152071	1160759
			
	22	45792418	45793636
			
LINC00836	10	25651712	25732935
			
	22	36703918	36721472
			
	22	46006616	46010777
			
LRRC37A14P	22	41189727	41190188
			
	22	49718053	49724506
			
	22	49845929	49846090
			
PVALB	22	36800684	36819479
			
MAOB	X	43766610	43882450
			
MTND1P9	20	57357426	57358369
			
OCSTAMP	20	46540946	46550654
			
	20	46455033	46496731
			
RNU6-954P	21	13968489	13968595
			
NF1P3	21	14000927	14005279
			
PPP6R2P1	21	14007134	14014880
			
RNF114	20	49936336	49953885
			
FRG2MP	21	14019060	14020725
			
	21	14027419	14144468
			
COMMD3-BMI1	10	22316388	22329542
			
PMS2	7	5970925	6009106
			
ANKRD20A18P	21	14064325	14069087
			
	22	41064052	41064633
			
RNA5SP488	21	14070871	14070986
			
	21	14075950	14076038
			
ALG12	22	49900229	49918438
			
LIPI	21	14108813	14210955
			
	X	48580741	48581165
			
YWHAZP8	X	73274785	73275515
			
	16	451404	453461
			
IGBP1-AS1	X	70163842	70165206
			
KPNA4P1	X	64305047	64306733
			
FBXL16	16	692498	705808
			
TIMM17B	X	48893447	48898143
			
RPL26P35	18	76834429	76834888
			
	20	49318337	49441654
			
EIF3LP3	10	38080056	38080877
			
	CHR_HG1_PATCH	23699797	23729757
			
ACTR3BP5	10	38696424	38697902
			
	10	33684755	33709868
			
CD226	18	69831158	69961803
			
	10	22361172	22413067
			
PABPC1P12	10	38635908	38638082
			
RPS24P13	10	32231849	32232245
			
CDC42P1	20	34402149	34402696
			
	20	22272052	22273454
			
NSUN6	10	18545561	18659285
			
KRT18P4	20	49956745	49958032
			
CEBPB-AS1	20	50184598	50191498
			
BRD7P1	CHR_HG1_PATCH	23749236	23751150
			
PPIAP10	20	53421199	53421656
			
LINC01754	20	47391925	47412327
			
	CHR_HG1_PATCH	23767662	23768998
			
RN7SKP205	CHR_HG1_PATCH	23791930	23792236
			
	16	689001	692554
			
	CHR_HG1_PATCH	23817281	23827396
			
RPL36P2	20	50620763	50621077
			
	16	2112335	2113342
			
LINC01746	20	37571103	37591493
			
	CHR_HG1_PATCH	23875938	23882428
			
LINC00596	CHR_HG1_PATCH	23922247	23934568
			
	16	1111627	1113399
			
	20	46901143	46901726
			
	16	817489	862843
			
CFAP61-AS1	20	20258407	20267809
			
DHRS4-AS1	CHR_HG1_PATCH	23938219	24052554
			
	16	1632259	1686715
			
	20	32509959	32520285
			
	20	52840936	52843775
			
DUX4L34	20	29410348	29411600
			
	20	47071865	47072236
			
C22orf34	22	49414524	49657542
			
SLC35C2	20	46345980	46364458
			
DUXAP3	10	42747544	42748687
			
RAB40C	16	589357	629272
			
OR7E115P	10	15007861	15008884
			
	10	11168922	11171376
			
ZNF37CP	10	37883594	37884109
			
	10	26577676	26622338
			
	10	20070805	20091784
			
PPARA	22	46150521	46243756
			
DHRS4	CHR_HG1_PATCH	23953734	24011760
			
PIP4K2A	10	22534854	22714578
			
CSNK1A1L	13	37103259	37105664
			
VSIG4	X	66021738	66040125
			
	18	75073543	75074205
			
	18	45571406	45611540
			
	13	51803838	51813832
			
RNF125	18	32018825	32073219
			
TMEM272	13	51813347	51845177
			
CTAGE3P	13	51908218	51910621
			
	13	51921251	51921587
			
ERLEC1P1	21	14143581	14144158
			
RBM11	21	14216130	14228372
			
ATP7B	13	51930436	52012125
			
NETO1-DT	18	72868388	72881399
			
	18	71137829	71208366
			
	18	71588537	71588884
			
	18	37305295	37306333
			
	18	71665148	71665525
			
ARL2BPP1	18	76703444	76704254
			
	18	78480549	78484867
			
ABCC13	21	14236206	14362754
			
SYNGR1	22	39349925	39385575
			
	16	991151	1000926
			
PIGN	18	61905255	62187118
			
	7	7550104	7552440
			
	16	2268155	2273418
			
UNC93B2	7	6855485	6859830
			
GFER	16	1984193	1987749
			
	7	4725440	4728721
			
ALG1L5P	7	6923804	6930835
			
ZC4H2	X	64915802	65034713
			
	10	42583241	42583375
			
MIOS	7	7566875	7608932
			
C10orf67	10	23202696	23344845
			
CTDNEP1	CHR_HG2087_PATCH	7243591	7252491
			
FLYWCH2	16	2883213	2899382
			
HSPA13	21	14371115	14383484
			
	22	44486295	44486914
			
	10	10400340	10404203
			
	10	18710269	18748342
			
RPL19P20	X	44649129	44649719
			
	10	22332587	22332981
			
	10	22230826	22232973
			
	10	22218074	22221168
			
JADE3	X	46912276	47061242
			
SEZ6L	22	26169462	26383597
			
	10	16817699	16821207
			
PCBP2P1	21	39171130	39172106
			
	21	39171462	39171560
			
ZNF32-AS3	10	43628817	43674703
			
PSMG1	21	39174769	39183488
			
RPS4XP11	10	32102522	32103293
			
AKR1C4	10	5195462	5218949
			
	7	7078302	7079742
			
	7	8114025	8116561
			
	7	379359	382712
			
OR7E59P	7	6879627	6880626
			
	7	9621764	9769513
			
	7	174920	176013
			
	7	3337889	3338601
			
	7	77038	81178
			
	7	149549	155465
			
	7	6080704	6093085
			
	7	135853	149527
			
FOXR2	X	55623400	55626192
			
	CHR_HG1_PATCH	23970058	24027781
			
	CHR_HG1_PATCH	24012412	24051376
			
SLC9A7	X	46599251	46759118
			
DHRS4L1	CHR_HG1_PATCH	24036452	24051027
			
	7	7177952	7178324
			
PER3P1	7	9634270	9635703
			
CARMIL3	CHR_HG1_PATCH	24052008	24069728
			
BRAT1	7	2537810	2555694
			
	10	13729383	13756200
			
	10	26695091	26697625
			
MALRD1	10	19048801	19790401
			
TP53RK-DT	20	46689659	46690289
			
	20	53168643	53179550
			
	20	53608354	53634590
			
APCDD1L	20	58459101	58515399
			
BRWD1	21	39184176	39321559
			
CCNB1IP1P2	20	45567990	45568807
			
	20	46681676	46682375
			
LINC00261	20	22547671	22578642
			
CCNY-AS1	10	35314552	35336401
			
	7	5419846	5423122
			
	7	1029025	1043891
			
MEOX2	7	15611212	15686683
			
LINC01517	10	28743506	28941910
			
	20	53940160	53942508
			
PPP4R1L	20	58228940	58309451
			
MGC4859	7	10449820	10779944
			
	7	7619872	7620543
			
HNRNPDP1	X	64044305	64045058
			
HSPA8P8	7	10451311	10453252
			
	X	37077851	37078401
			
GATA1	X	48786562	48794311
			
FAM20C	7	192571	260772
			
SS18L2P1	10	34875210	34875422
			
	10	24952350	25161236
			
TSC2	16	2047967	2089491
			
ST8SIA6	10	17315421	17454595
			
CPNE6	CHR_HG1_PATCH	24070836	24078099
			
	CHR_HG2087_PATCH	7246829	7262089
			
RBMXP5	X	65956289	65957196
			
PHKA1-AS1	X	72688950	72712348
			
MAGEH1	X	55452127	55453566
			
ZNF674-AS1	X	46545438	46548841
			
ELP5	CHR_HG2087_PATCH	7251416	7259940
			
RAB11FIP1P1	X	74202834	74204595
			
GJA6P	X	18535079	18536120
			
FOXK1	7	4682295	4771442
			
BMP2KL	X	74185929	74187153
			
ELOBP4	10	34488583	34488878
			
SMIM15P1	X	43000174	43000396
			
GAD2	10	26216665	26304558
			
SLC7A3	X	70925579	70931125
			
PSMG3-AS1	7	1570073	1589626
			
EDEM2	20	35115364	35147336
			
DGKK	X	50365409	50470825
			
C7orf50	7	996986	1138260
			
LINC01270	20	50292709	50315488
			
	20	42014034	42015478
			
LINC01523	20	47983404	47984313
			
FRG1DP	20	29080390	29102761
			
LINC00269	X	69179557	69209924
			
TTYH3	7	2631986	2664802
			
NDP-AS1	X	43949732	43971582
			
LINC01721	20	24063255	24226013
			
	X	42285130	42285925
			
SPIN4-AS1	X	63349646	63352178
			
PIR	X	15384799	15493564
			
	20	34245953	34246537
			
RBBP9	20	18486540	18497225
			
MKX	10	27672874	27746060
			
	20	48264969	48275392
			
	20	25226448	25226735
			
NCOA3	20	47501887	47656877
			
RPL23AP83	X	56242937	56243409
			
	X	53065053	53065548
			
PSMA5P1	X	55599663	55600106
			
	X	27832175	27833204
			
CCT4P2	X	65270913	65273019
			
LINC00839	10	42475480	42495337
			
EDA2R	X	66595637	66639298
			
NRL	CHR_HG1_PATCH	24080106	24115013
			
GDF2	10	47322454	47327588
			
	10	19710328	19728550
			
CLDN7	CHR_HG2087_PATCH	7259903	7263983
			
	7	7293508	7293880
			
C1DP1	10	32511336	32511737
			
	10	32347397	32374488
			
	7	10702676	10707406
			
HSD17B7P2	10	38356380	38378505
			
HRAT92	7	520391	525238
			
	22	44102779	44116232
			
BLOC1S2P1	X	64726748	64727048
			
PFN5P	X	64405473	64406136
			
	7	12726152	13751920
			
IFT27	22	36758202	36776256
			
CYSLTR1	X	78271468	78327691
			
PCK2	CHR_HG1_PATCH	24094052	24110597
			
ZFAND2A-DT	7	1160374	1165607
			
CYP3A54P	7	4511959	4512033
			
AIMP2	7	6009255	6023834
			
ODAD2	10	27775186	27999079
			
ATP6AP2	X	40579372	40606848
			
Y_RNA	CHR_HG2087_PATCH	7266055	7266166
			
	21	39184469	39184899
			
TIMM9P2	21	39216624	39217506
			
SLC2A4	CHR_HG2087_PATCH	7281718	7288257
			
BRWD1-IT1	21	39217093	39219805
			
METTL21AP1	21	39235386	39236020
			
BRWD1-AS2	21	39313935	39314962
			
BRWD1-AS1	21	39315707	39323218
			
HMGN1	21	39342315	39349647
			
	7	10207670	10239863
			
RAD17P1	7	16864267	16866308
			
	7	7738524	7742574
			
	7	9850924	9851386
			
	22	45657019	45680130
			
	22	49047484	49052549
			
ARFGAP3	22	42796502	42858106
			
SUN1	7	816615	896435
			
	CHR_HG2087_PATCH	7282947	7284071
			
RFXAP	13	36819222	36829104
			
YBX2	CHR_HG2087_PATCH	7288263	7294639
			
FGF22	19	639879	644371
			
POLR1D	13	27620742	27744237
			
	10	22439954	22479480
			
CHEK2P5	10	38713195	38719229
			
ITGA8	10	15513954	15719922
			
POLRMT	19	617221	633537
			
DCAF11	CHR_HG1_PATCH	24114194	24125241
			
TRPC4	13	37632063	37869802
			
	20	22960534	22966063
			
RNF11P2	20	14547184	14547623
			
